cluster_id	spatial_decay_slope
0	-0.0163996312701473
1	-0.00823058820594279
2	-0.0142535266647646
3	-0.0138963194648594
4	-0.0148930312419183
5	-0.01558816962614
6	-0.0165324374860918
7	-0.00857884942030993
8	-0.00675190759098129
9	-0.014039957009674
10	-0.0136948450845272
11	-0.0124882967569559
12	-0.00980053922072661
13	-0.0137962398918133
14	-0.0142672830916429
