cluster_id	bc_unitType
0	GOOD
1	NOISE
2	MUA
3	MUA
4	MUA
5	MUA
6	GOOD
7	MUA
8	MUA
9	MUA
10	NON-SOMA
11	NON-SOMA
12	MUA
13	GOOD
14	GOOD
15	GOOD
16	MUA
17	NON-SOMA
18	NOISE
19	NOISE
20	NOISE
21	NOISE
22	MUA
23	MUA
24	NON-SOMA
