,phy_clusterID,nSpikes,nPeaks,nTroughs,waveformDuration_peakTrough,spatialDecaySlope,waveformBaselineFlatness,scndPeakToTroughRatio,mainPeakToTroughRatio,peak1ToPeak2Ratio,troughToPeak2Ratio,mainPeak_before_width,mainTrough_width,percentageSpikesMissing_gaussian,percentageSpikesMissing_symmetric,RPV_window_index,fractionRPVs_estimatedTauR,presenceRatio,maxDriftEstimate,cumDriftEstimate,rawAmplitude,signalToNoiseRatio,isolationDistance,Lratio,silhouetteScore,useTheseTimesStart,useTheseTimesStop,maxChannels
0,0,9705.0,2.0,1.0,600.0,0.0423517576861159,,,,0.2836500406265259,,,,46.255807515124225,27.709497206703908,0.0,1.0,0.7567567567567568,24.972343609711903,222.08774930831015,,,,,,0.3253666666666667,4475.873933333333,0
1,1,24343.0,2.0,1.0,400.0,0.000496058630192587,,,,0.9347190260887146,,,,100.0,31.48413971685102,0.0,1.0,1.0,42.515826706554236,383.89789820691726,,,,,,0.3253666666666667,4475.873933333333,0
2,2,5906.0,2.0,1.0,733.3333333333334,0.025323412980616668,,,,0.059760306030511856,,,,100.0,22.074152262831507,0.0,1.0,0.972972972972973,73.38926639021628,453.7756563273043,,,,,,0.3253666666666667,4475.873933333333,2
3,3,1342.0,2.0,1.0,300.0,0.040807259839046296,,,,0.004702170379459858,,,,20.025744300055404,20.872641509433958,0.0,1.0,0.8108108108108109,49.14959295473014,632.5234266345552,,,,,,0.3253666666666667,4475.873933333333,2
4,4,3784.0,2.0,1.0,600.0,0.013389492040947285,,,,0.8444185853004456,,,,99.08875006995737,41.360607469394076,0.0,1.0,0.9459459459459459,65.01507860118494,406.0696518770211,,,,,,0.3253666666666667,4475.873933333333,4
5,5,6454.0,2.0,1.0,666.6666666666666,0.02886555682339699,,,,0.045484643429517746,,,,6.719012985424411,2.3305084745762756,0.0,0.9822378652697061,0.527027027027027,34.258557903269434,362.2330330832681,,,,,,0.3253666666666667,4475.873933333333,6
6,6,13605.0,2.0,1.0,266.6666666666667,0.020929899991969585,,,,0.04257415607571602,,,,0.469969058424069,7.1399317406143314,0.0,0.0329025217284871,0.8243243243243243,52.68921140404201,170.08857561718065,,,,,,0.3253666666666667,4475.873933333333,6
7,7,171.0,2.0,1.0,600.0,0.014845254815936236,,,,0.010818950831890106,,,,100.0,35.95505617977528,0.0,1.0,0.6891891891891891,53.1535890171688,702.26054678546,,,,,,0.3253666666666667,4475.873933333333,5
8,8,390.0,2.0,1.0,600.0,0.015256730122403332,,,,0.014729144982993603,,,,0.8770779315672161,0.0,0.0,0.6764984440535787,0.8783783783783784,44.88962214044244,566.4546792767103,,,,,,0.3253666666666667,4475.873933333333,9
9,9,75.0,2.0,1.0,633.3333333333334,0.01983875351377863,,,,0.01946312189102173,,,,100.0,30.555555555555554,0.0,1.0,0.33783783783783783,64.34255885219375,393.1367759756989,,,,,,0.3253666666666667,4475.873933333333,11
10,10,452.0,2.0,1.0,233.33333333333334,0.018957954835549257,,,,1.2507508993148804,,,,0.024125634060434553,0.0,0.0,0.0,0.7162162162162162,66.67320969959158,343.7807621747673,,,,,,0.3253666666666667,4475.873933333333,12
11,11,1458.0,2.0,1.0,700.0,0.022559891530035386,,,,4.831717491149902,,,,0.2309992949317885,0.0,0.0,0.0,0.8243243243243243,39.476045964608076,368.9198093249402,,,,,,0.3253666666666667,4475.873933333333,14
12,12,14750.0,2.0,1.0,300.0,0.013696510879819001,,,,0.07725828886032104,,,,100.0,0.0,0.0,1.0,1.0,30.627500498373337,191.1516385741812,,,,,,0.3253666666666667,4475.873933333333,12
13,13,871.0,2.0,1.0,533.3333333333334,0.021901957094154625,,,,0.018754951655864716,,,,16.83998189381011,0.0,0.0,0.0,0.9324324324324325,42.9345591386471,343.1779664184598,,,,,,0.3253666666666667,4475.873933333333,16
14,14,11259.0,2.0,1.0,633.3333333333334,0.03015662614258818,,,,0.013182444497942924,,,,2.8134114791482645,0.0,0.0,0.4081649425507903,0.6081081081081081,26.62920907069028,279.1146804930363,,,,,,0.3253666666666667,4475.873933333333,17
