cluster_id	peak_2_to_trough
0	0.312462957442567
1	0.980432744432795
2	0.431882225010218
3	0.23479161950933
4	0.304664279909378
5	0.297345177058412
6	0.492255685851651
7	0.288174138358464
8	0.303426770517659
9	0.292315429062581
10	0.172714609653589
11	0.130071708064398
12	0.494620373281744
13	0.275772765789014
14	0.372502509025428
