cluster_id	RPV_window_index
0.0	9.0
1.0	9.0
2.0	9.0
3.0	9.0
4.0	9.0
5.0	3.0
6.0	4.0
7.0	1.0
8.0	2.0
9.0	9.0
10.0	3.0
11.0	3.0
12.0	9.0
13.0	6.0
14.0	3.0
