cluster_id	mainPeak_before_width
0.0	2.7303384629377447
1.0	
2.0	1.5835748241861296
3.0	
4.0	3.297334901421518
5.0	
6.0	1.4393750577349067
7.0	
8.0	
9.0	
10.0	2.863303514232804
11.0	2.1886900035636927
12.0	
13.0	
14.0	
