cluster_id	peak_before_width
0.0	2.8323597399324782
1.0	
2.0	0.9486451842847679
3.0	
4.0	3.3456206988012624
5.0	
6.0	
7.0	
8.0	
9.0	
10.0	2.918997605810908
11.0	2.192656709050766
12.0	
13.0	1.0646814178581963
14.0	
