cluster_id	presence_ratio
0	1
1	0.463414634146341
2	1
3	0.170731707317073
4	0.902439024390244
5	1
6	1
7	1
8	0.48780487804878
13	0.536585365853659
14	0.365853658536585
15	0.975609756097561
16	0.585365853658537
17	0.195121951219512
18	0.365853658536585
19	1
20	0.609756097560976
29	0.439024390243902
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
49	0.853658536585366
51	0.48780487804878
52	1
53	0.365853658536585
54	0.75609756097561
55	0.75609756097561
56	0.829268292682927
58	1
59	1
60	1
76	0.634146341463415
80	1
81	1
82	0.536585365853659
83	1
86	1
88	1
89	1
92	1
93	0.390243902439024
95	1
98	0.390243902439024
108	0.341463414634146
110	1
112	0.951219512195122
116	0.951219512195122
122	0.463414634146341
123	1
129	1
130	0.853658536585366
131	0.780487804878049
132	0.658536585365854
134	0.902439024390244
140	0.560975609756098
143	0.829268292682927
144	0.682926829268293
146	1
148	0.804878048780488
149	0.707317073170732
152	0.951219512195122
153	0.731707317073171
154	0.780487804878049
155	0.48780487804878
156	0.341463414634146
157	0.24390243902439
158	0.414634146341463
160	0.804878048780488
162	0.707317073170732
165	0.780487804878049
166	0.804878048780488
167	0.390243902439024
169	0.536585365853659
170	0.951219512195122
171	1
174	0.634146341463415
175	0.585365853658537
176	1
177	0.51219512195122
178	1
179	1
180	1
181	0.414634146341463
186	1
187	0.75609756097561
188	1
189	0.365853658536585
193	1
195	1
197	1
198	1
199	0.634146341463415
200	0.48780487804878
202	1
203	1
204	0.975609756097561
205	1
207	0.951219512195122
208	0.682926829268293
209	0.926829268292683
211	1
212	0.317073170731707
213	0.439024390243902
214	0.951219512195122
216	1
217	0.804878048780488
219	1
223	0.536585365853659
224	1
225	1
226	0.951219512195122
227	1
228	0.878048780487805
229	0.804878048780488
230	0.829268292682927
231	1
234	1
235	1
236	0.463414634146341
237	1
239	0.951219512195122
241	1
242	1
243	1
244	0.219512195121951
245	1
246	1
247	1
248	1
251	1
253	0.780487804878049
257	1
258	1
259	1
260	1
261	1
262	0.48780487804878
263	1
264	0.439024390243902
265	0.951219512195122
266	0.780487804878049
267	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	0.658536585365854
277	0.853658536585366
278	1
279	1
280	1
281	0.48780487804878
283	0.195121951219512
285	0.414634146341463
287	0.804878048780488
290	1
291	1
292	0.560975609756098
293	0.634146341463415
296	0.902439024390244
297	1
298	0.24390243902439
300	0.365853658536585
309	1
310	0.609756097560976
312	0.536585365853659
315	0.682926829268293
316	0.219512195121951
319	0.878048780487805
320	1
321	1
322	1
323	0.902439024390244
324	1
325	0.195121951219512
328	0.878048780487805
330	0.829268292682927
331	1
332	0.804878048780488
333	1
340	1
341	1
342	1
348	1
357	0.902439024390244
358	1
362	1
376	0.780487804878049
379	0.195121951219512
380	1
381	1
383	1
400	0.341463414634146
403	1
407	0.780487804878049
411	0.707317073170732
413	0.682926829268293
627	0.682926829268293
632	0.829268292682927
633	1
634	1
635	0.731707317073171
640	0.780487804878049
642	1
651	1
652	1
654	0.902439024390244
655	1
656	1
657	1
660	0.609756097560976
661	0.414634146341463
662	0.926829268292683
663	1
664	0.731707317073171
665	1
667	1
672	1
674	1
675	1
678	0.878048780487805
