cluster_id	waveform_duration
0	1366.66666666667
1	133.333333333333
2	166.666666666667
3	166.666666666667
4	200
5	266.666666666667
6	300
7	200
8	266.666666666667
13	133.333333333333
14	166.666666666667
15	266.666666666667
16	300
17	266.666666666667
18	200
19	300
20	233.333333333333
29	233.333333333333
35	1033.33333333333
36	600
37	1000
38	933.333333333333
39	900
40	266.666666666667
41	266.666666666667
42	200
43	266.666666666667
44	200
45	233.333333333333
49	266.666666666667
51	200
52	233.333333333333
53	666.666666666667
54	866.666666666667
55	200
56	166.666666666667
58	233.333333333333
59	166.666666666667
60	200
76	266.666666666667
80	200
81	200
82	200
83	200
86	200
88	200
89	266.666666666667
92	266.666666666667
93	300
95	266.666666666667
98	166.666666666667
108	233.333333333333
110	500
112	333.333333333333
116	200
122	200
123	200
129	300
130	166.666666666667
131	433.333333333333
132	366.666666666667
134	333.333333333333
140	400
143	133.333333333333
144	200
146	233.333333333333
148	233.333333333333
149	300
152	233.333333333333
153	233.333333333333
154	366.666666666667
155	300
156	166.666666666667
157	200
158	300
160	300
162	366.666666666667
165	433.333333333333
166	266.666666666667
167	166.666666666667
169	266.666666666667
170	233.333333333333
171	233.333333333333
174	166.666666666667
175	133.333333333333
176	133.333333333333
177	133.333333333333
178	133.333333333333
179	100
180	200
181	166.666666666667
186	333.333333333333
187	166.666666666667
188	333.333333333333
189	233.333333333333
193	366.666666666667
195	300
197	266.666666666667
198	533.333333333333
199	266.666666666667
200	233.333333333333
202	666.666666666667
203	566.666666666667
204	100
205	400
207	133.333333333333
208	200
209	266.666666666667
211	1266.66666666667
212	666.666666666667
213	800
214	166.666666666667
216	266.666666666667
217	633.333333333333
219	166.666666666667
223	633.333333333333
224	466.666666666667
225	300
226	133.333333333333
227	500
228	300
229	266.666666666667
230	200
231	300
234	100
235	133.333333333333
236	300
237	133.333333333333
239	466.666666666667
241	333.333333333333
242	500
243	500
244	533.333333333333
245	300
246	466.666666666667
247	600
248	500
251	900
253	300
257	800
258	533.333333333333
259	500
260	800
261	600
262	300
263	500
264	366.666666666667
265	333.333333333333
266	100
267	133.333333333333
269	866.666666666667
270	1000
271	1066.66666666667
272	1033.33333333333
273	400
274	400
275	900
276	566.666666666667
277	1000
278	733.333333333333
279	1066.66666666667
280	866.666666666667
281	366.666666666667
283	333.333333333333
285	600
287	333.333333333333
290	500
291	866.666666666667
292	533.333333333333
293	400
296	400
297	633.333333333333
298	733.333333333333
300	400
309	166.666666666667
310	233.333333333333
312	166.666666666667
315	633.333333333333
316	333.333333333333
319	100
320	400
321	400
322	366.666666666667
323	400
324	333.333333333333
325	266.666666666667
328	333.333333333333
330	100
331	266.666666666667
332	300
333	333.333333333333
340	200
341	266.666666666667
342	233.333333333333
348	466.666666666667
357	166.666666666667
358	233.333333333333
362	533.333333333333
376	366.666666666667
379	300
380	466.666666666667
381	433.333333333333
383	166.666666666667
400	633.333333333333
403	533.333333333333
407	266.666666666667
411	600
413	600
627	300
632	300
633	233.333333333333
634	666.666666666667
635	266.666666666667
640	333.333333333333
642	466.666666666667
651	300
652	366.666666666667
654	233.333333333333
655	166.666666666667
656	200
657	1000
660	233.333333333333
661	166.666666666667
662	600
663	700
664	300
665	200
667	133.333333333333
672	366.666666666667
674	233.333333333333
675	200
678	233.333333333333
