cluster_id	waveform_dur
0	566.666666666667
1	400
2	700
3	300
4	600
5	666.666666666667
6	266.666666666667
7	600
8	633.333333333333
9	600
10	266.666666666667
11	700
12	333.333333333333
13	533.333333333333
14	633.333333333333
