cluster_id	percentage_spikes_missing
0	50
1	50.0000000000001
2	29.1452309233078
3	NaN
4	40.0206241541883
5	30.7883699371824
6	50
7	15.3085764693731
8	50.0000000000004
13	50.0000000000002
14	50.0000000000001
15	42.8372487004945
16	35.6450558277179
17	NaN
18	50.0000000000005
19	50.0000000000006
20	17.663324172933
29	11.0575128180001
35	23.194144609438
36	27.6478549493797
37	50.0000000000002
38	50.0000000000002
39	28.2620079967695
40	39.5764667748559
41	27.2484745007351
42	50.0000000000003
43	50
44	3.69257853072291e-05
45	0.0541212862070761
49	23.877107594014
51	50.0000000000004
52	50.0000000000004
53	22.2300792804724
54	3.76859127313768
55	2.60335699474764
56	1.82601105173502
58	50.0000000000005
59	23.065459618604
60	0.00171838869729157
76	50.0000000000006
80	0.00061780339579709
81	5.61046264162413
82	36.6870304238077
83	0.0112332636204471
86	2.83899555864053e-05
88	2.66025611821724
89	0.00674827042665971
92	15.0563699219092
93	14.2901892662774
95	38.4335947954591
98	43.6838428444385
108	50
110	41.6553847886703
112	33.8573961380171
116	5.36545388250991
122	50.0000000000003
123	50.0000000000008
129	29.0913542213885
130	4.30783084657032
131	11.3026496500943
132	21.6347332175891
134	10.291529547742
140	50
143	50.0000000000002
144	50
146	13.0174026841826
148	1.02094974384058
149	30.8457325314329
152	50.0000000000001
153	50.0000000000003
154	16.6974762251936
155	50.0000000000009
156	40.837618978299
157	50
158	22.8367561017616
160	50.0000000000005
162	13.2184520749621
165	12.711667001961
166	25.8571610750084
167	0.119013810934099
169	27.3226523116131
170	22.2476868805564
171	50.0000000000006
174	50
175	4.81777760641146
176	0.740400603235414
177	50
178	5.55111512312578e-14
179	0.0674979344647664
180	8.20365520515232e-05
181	5.06121829851776
186	42.9407049395564
187	12.8788872644158
188	50.0000000000005
189	3.35522751671532
193	50.0000000000006
195	50.0000000000005
197	0.0505330054183628
198	40.0713408661714
199	42.8568734558997
200	23.0245514953991
202	50.0000000000006
203	50.0000000000004
204	50
205	2.30797902442921
207	2.41384494397513
208	5.52449891721984e-05
209	50.0000000000004
211	50.0000000000003
212	50.0000000000003
213	19.5871313656651
214	12.7126517642495
216	39.5552025134668
217	2.59020416345468
219	50
223	50
224	22.6882852271747
225	50.0000000000005
226	22.5833342135997
227	44.9707095738353
228	48.4452357973752
229	20.0770808141931
230	30.0449652678865
231	50.0000000000005
234	50.0000000000004
235	1.91409683364382
236	40.9169680280551
237	32.2923165062864
239	50.0000000000005
241	50.0000000000004
242	9.8422290428779e-06
243	0.0674408159501039
244	50
245	50.0000000000004
246	50.0000000000006
247	50.0000000000001
248	10.4921047037355
251	2.63457194631649
253	50.0000000000004
257	35.6691348149062
258	50
259	50.0000000000004
260	49.5540803129792
261	44.4279493425225
262	50
263	50.0000000000004
264	50
265	26.2673495112934
266	50.0000000000001
267	2.77636353471796
269	24.3334752476017
270	35.6659592398713
271	50.0000000000004
272	43.0423532357935
273	12.1602770566755
274	1.7623850219765
275	50.0000000000004
276	12.9315644079801
277	25.7043723536181
278	50
279	38.1985288137309
280	50.0000000000002
281	50
283	NaN
285	50.0000000000006
287	50.0000000000004
290	26.9781319740818
291	50
292	50.0000000000003
293	49.6621098184195
296	1.63579457332893
297	7.39813624285351
298	25.2148980325228
300	50
309	0.00275045186156619
310	13.914946309815
312	8.24471271549863
315	40.1662247416581
316	2.23846542493576
319	26.1167980973382
320	0.0940753127133376
321	50.0000000000006
322	21.89165488853
323	29.9689970789706
324	4.4456339541437
325	50.0000000000004
328	40.0140422240518
330	16.0041475739423
331	24.9935064597408
332	3.83448406878826
333	11.5385355398693
340	0.231289812693536
341	20.8171628160364
342	9.44465562586331
348	27.7511074076946
357	4.18556217463006e-06
358	37.7028209097713
362	7.38310024629313
376	50.0000000000007
379	3.38679219841608
380	11.3571311351022
381	3.48441353802453
383	4.72307169751518
400	50.0000000000004
403	4.91875543273197
407	5.57497234388742
411	50.0000000000004
413	50
627	50
632	3.45776790454198
633	4.30012847578979
634	17.0743577552428
635	10.8899019748529
640	0.245773947543215
642	11.0622202723047
651	23.7010828019762
652	50
654	1.99732127549201
655	4.5677238007608
656	48.1750497439212
657	4.34483188852084
660	25.1158165087882
661	50
662	8.78443984220212e-09
663	50.0000000000002
664	34.7513853963104
665	0.00613943656722071
667	0.000716393139765792
672	50.0000000000004
674	3.11181530322517
675	0.00473908409959201
678	0.110371244326757
