cluster_id	wv_baseline_flatness
0	0.024520372459669
1	1
2	0.0383619051923559
3	0.0100154391129697
4	0.0296479564496279
5	0.0360882910927896
6	0.0197957098746155
7	0.0149338845124308
8	0.0331563373141158
9	0.0210055240998327
10	0.00559056477034267
11	0.0186601707233449
12	0.0722975939620868
13	0.0182435817996407
14	0.00836112501618248
